# 1D z+ on top wall (simple), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 26.Re10595_j257_toptauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on top wall (simple)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "d_n" "z_plus"
ZONE T="top_zplus_1d_simple", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
 136 4.902589313000000e+00 3.035713191000000e+00 2.143616325721849e-03 4.629920437460939e-02 1.323467300000036e-02 6.492137424466010e+00
 137 4.951271856000000e+00 3.035713191000000e+00 2.144782837600442e-03 4.631180019822639e-02 1.323467300000036e-02 6.493903627989384e+00
 138 4.999479070000000e+00 3.035713191000000e+00 2.146341174748944e-03 4.632862155027866e-02 1.323467300000036e-02 6.496262340858511e+00
 139 5.047307113000000e+00 3.035713191000000e+00 2.148258301141667e-03 4.634930745050747e-02 1.323467300000036e-02 6.499162945930417e+00
 140 5.094752753000000e+00 3.035713191000000e+00 2.150531518107812e-03 4.637382363044708e-02 1.323467300000036e-02 6.502600638034219e+00
 141 5.141772882000000e+00 3.035713191000000e+00 2.153193322503976e-03 4.640251418300495e-02 1.323467300000036e-02 6.506623666345515e+00
 142 5.188290018000000e+00 3.035713191000000e+00 2.156262210346387e-03 4.643557052892090e-02 1.323467300000036e-02 6.511258872140859e+00
 143 5.234425061000000e+00 3.035713191000000e+00 2.159759111203816e-03 4.647320853140889e-02 1.323467300000036e-02 6.516536524053782e+00
 144 5.280174087000000e+00 3.035713191000000e+00 2.163685408054947e-03 4.651543193451983e-02 1.323467300000036e-02 6.522457147080193e+00
 145 5.325533878000000e+00 3.035713191000000e+00 2.168044989834202e-03 4.656227002449732e-02 1.323467300000036e-02 6.529024847777015e+00
 146 5.370347647000000e+00 3.035713191000000e+00 2.172811434234262e-03 4.661342547200605e-02 1.323467300000036e-02 6.536197934220350e+00
 147 5.414758912000000e+00 3.035713191000000e+00 2.177964795449182e-03 4.666867038441509e-02 1.323467300000036e-02 6.543944450995458e+00
 148 5.458779335000000e+00 3.035713191000000e+00 2.183465701268453e-03 4.672756896381892e-02 1.323467300000036e-02 6.552203289927153e+00
 149 5.502408166000000e+00 3.035713191000000e+00 2.189280613795354e-03 4.678974902471005e-02 1.323467300000036e-02 6.560922262657237e+00
 150 5.545523671000000e+00 3.035713191000000e+00 2.195362868634133e-03 4.685469953626992e-02 1.323467300000036e-02 6.570029711749113e+00
 151 5.588182237000000e+00 3.035713191000000e+00 2.201701259966089e-03 4.692228958571916e-02 1.323467300000036e-02 6.579507280434753e+00
 152 5.630438454000000e+00 3.035713191000000e+00 2.208283281852043e-03 4.699237472028885e-02 1.323467300000036e-02 6.589334713350386e+00
 153 5.672289613000000e+00 3.035713191000000e+00 2.215112761645649e-03 4.706498445389788e-02 1.323467300000036e-02 6.599516148977868e+00
 154 5.713660809000000e+00 3.035713191000000e+00 2.222166245892053e-03 4.713985835672455e-02 1.323467300000036e-02 6.610015069493302e+00
 155 5.754513543000000e+00 3.035713191000000e+00 2.229446857530063e-03 4.721701872767978e-02 1.323467300000036e-02 6.620834601680313e+00
 156 5.794953300000000e+00 3.035713191000000e+00 2.236940599614652e-03 4.729630640562382e-02 1.323467300000036e-02 6.631952427747358e+00
 157 5.834977274000000e+00 3.035713191000000e+00 2.244654666556210e-03 4.737778663631523e-02 1.323467300000036e-02 6.643377696543467e+00
 158 5.874557306000000e+00 3.035713191000000e+00 2.252545408731938e-03 4.746098828229284e-02 1.323467300000036e-02 6.655044344532878e+00
 159 5.913555009000000e+00 3.035713191000000e+00 2.260604635202824e-03 4.754581616927849e-02 1.323467300000036e-02 6.666939026248833e+00
 160 5.952124538000000e+00 3.035713191000000e+00 2.268801222337829e-03 4.763193490020985e-02 1.323467300000036e-02 6.679014711858965e+00
 161 5.990264327000000e+00 3.035713191000000e+00 2.277143366220371e-03 4.771942336429025e-02 1.323467300000036e-02 6.691282463314688e+00
 162 6.027972935000000e+00 3.035713191000000e+00 2.285589176691884e-03 4.780783593399605e-02 1.323467300000036e-02 6.703679794118388e+00
 163 6.065078500000000e+00 3.035713191000000e+00 2.294128151083191e-03 4.789705785414372e-02 1.323467300000036e-02 6.716190613142119e+00
 164 6.101715875000000e+00 3.035713191000000e+00 2.302747518059407e-03 4.798695153955299e-02 1.323467300000036e-02 6.728795628004722e+00
 165 6.137908801000000e+00 3.035713191000000e+00 2.311460305732118e-03 4.807764871259947e-02 1.323467300000036e-02 6.741513308996909e+00
 166 6.173655227000000e+00 3.035713191000000e+00 2.320235904688999e-03 4.816882710518285e-02 1.323467300000036e-02 6.754298467247228e+00
 167 6.208833132000000e+00 3.035713191000000e+00 2.329057596114150e-03 4.826031077515094e-02 1.323467300000036e-02 6.767126431907740e+00
 168 6.243468208000000e+00 3.035713191000000e+00 2.337908239404272e-03 4.835192074162382e-02 1.323467300000036e-02 6.779972106035971e+00
 169 6.277641049000000e+00 3.035713191000000e+00 2.346802620762547e-03 4.844380890023561e-02 1.323467300000036e-02 6.792856788644385e+00
 170 6.311348358000000e+00 3.035713191000000e+00 2.355724689372958e-03 4.853580832100108e-02 1.323467300000036e-02 6.805757072583351e+00
 171 6.344513442000000e+00 3.035713191000000e+00 2.364658363234126e-03 4.862775301444769e-02 1.323467300000036e-02 6.818649682583215e+00
 172 6.377059830000000e+00 3.035713191000000e+00 2.373583643683562e-03 4.871943804769881e-02 1.323467300000036e-02 6.831505882677215e+00
 173 6.409118483000000e+00 3.035713191000000e+00 2.382518990438935e-03 4.881105397795601e-02 1.323467300000036e-02 6.844352393055397e+00
 174 6.440683789000000e+00 3.035713191000000e+00 2.391458024451711e-03 4.890253597158035e-02 1.323467300000036e-02 6.857180122656711e+00
 175 6.471735409000000e+00 3.035713191000000e+00 2.400383974613111e-03 4.899371362341409e-02 1.323467300000036e-02 6.869965177038106e+00
 176 6.502068984000000e+00 3.035713191000000e+00 2.409258728392784e-03 4.908420039475823e-02 1.323467300000036e-02 6.882653355217353e+00
 177 6.531877748000000e+00 3.035713191000000e+00 2.418111025804579e-03 4.917429232642376e-02 1.323467300000036e-02 6.895286168439711e+00
 178 6.561153880000000e+00 3.035713191000000e+00 2.426942445568237e-03 4.926400760766664e-02 1.323467300000036e-02 6.907866167227396e+00
 179 6.589889384000000e+00 3.035713191000000e+00 2.435739116393020e-03 4.935320776193803e-02 1.323467300000036e-02 6.920373934210342e+00
