# 1D z+ on bottom wall (n-projection), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 25.Re10595_j257_bottomtauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on bottom wall (n-projection)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "dy_step" "dz_step" "n_y" "n_z" "d_n_proj" "z_plus_proj"
ZONE T="bottom_zplus_1d_n-projection", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
  81 2.372361492000000e+00 6.147919672000000e-12 1.972545511802671e-04 1.404473393056156e-02 2.953399999983120e-05 1.323467305385208e-02 -9.473063723582170e-09 9.999999999999998e-01 1.323467305357230e-02 1.969371706662716e+00
  82 2.410596315000000e+00 2.964777620000000e-11 1.998284590568359e-04 1.413606943449401e-02 1.131300000034585e-05 1.323467306035222e-02 1.734093947205554e-09 1.000000000000000e+00 1.323467306037184e-02 1.982178896350362e+00
  83 2.449088852000000e+00 -1.634561175000000e-11 2.065477691200914e-04 1.437176986735077e-02 6.179999999744723e-06 1.323467305634561e-02 3.554127613962403e-10 1.000000000000000e+00 1.323467305634781e-02 2.015229131238683e+00
  84 2.487832988000000e+00 4.949783785000000e-12 2.066919210081029e-04 1.437678409826422e-02 7.423000000006397e-06 1.323467305505022e-02 -4.183257284777014e-10 1.000000000000000e+00 1.323467305504711e-02 2.015932233323771e+00
  85 2.526829845000000e+00 -5.510223170000000e-13 2.073808832257307e-04 1.440072509374895e-02 1.820999999990747e-05 1.323467306055102e-02 1.790557051035642e-10 1.000000000000000e+00 1.323467306055428e-02 2.019289273135032e+00
  86 2.566155624000000e+00 -4.100760868000000e-13 2.080754353936815e-04 1.442482011651034e-02 1.275100000031060e-05 1.323467306041008e-02 -4.209725096911085e-11 1.000000000000000e+00 1.323467306040954e-02 2.022667909999684e+00
  87 2.605775057000000e+00 2.910617095000000e-13 2.033245914154591e-04 1.425919322456425e-02 2.123000000242570e-06 1.323467305970894e-02 -1.595132755919353e-12 1.000000000000000e+00 1.323467305970893e-02 1.999443481674530e+00
  88 2.645653389000000e+00 -1.019149664000000e-13 2.019055088910293e-04 1.420934582910238e-02 4.319999997726143e-07 1.323467306010192e-02 6.454824362465147e-12 1.000000000000000e+00 1.323467306010192e-02 1.992453812096354e+00
  89 2.685792762000000e+00 1.759504587000000e-14 2.017000067908020e-04 1.420211275799492e-02 1.100699999989629e-05 1.323467305998241e-02 -3.257395284550346e-12 1.000000000000000e+00 1.323467305998237e-02 1.991439581002947e+00
  90 2.726242298000000e+00 4.708533403000000e-15 2.001626380820203e-04 1.414788457975327e-02 1.467000000010543e-05 1.323467305999529e-02 9.185538808622534e-13 1.000000000000000e+00 1.323467305999531e-02 1.983835632043468e+00
